Ticker,Company,Sector,Industry
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research
AA,Alcoa Corp,Basic Materials,Aluminum
AAL,American Airlines Group Inc,Industrials,Airlines
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment
AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts
AAPL,Apple Inc,Technology,Consumer Electronics
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services
ABT,Abbott Laboratories,Healthcare,Medical Devices
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities
ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense
ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores
ACLX,Arcellx Inc,Healthcare,Biotechnology
ACM,AECOM,Industrials,Engineering & Construction
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials
ACN,Accenture plc,Technology,Information Technology Services
ADBE,Adobe Inc,Technology,Software - Application
ADI,Analog Devices Inc,Technology,Semiconductors
ADM,Archer Daniels Midland Co,Consumer Defensive,Farm Products
ADMA,Adma Biologics Inc,Healthcare,Biotechnology
ADP,Automatic Data Processing Inc,Technology,Software - Application
ADPT,Adaptive Biotechnologies Corp,Healthcare,Biotechnology
ADSK,Autodesk Inc,Technology,Software - Application
ADT,ADT Inc,Industrials,Security & Protection Services
AEE,Ameren Corp,Utilities,Utilities - Regulated Electric
AEG,Aegon Ltd,Financial,Insurance - Diversified
AEM,Agnico Eagle Mines Ltd,Basic Materials,Gold
AEO,American Eagle Outfitters Inc,Consumer Cyclical,Apparel Retail
AEP,American Electric Power Company Inc,Utilities,Utilities - Regulated Electric
AER,Aercap Holdings N.V,Industrials,Rental & Leasing Services
AES,AES Corp,Utilities,Utilities - Diversified
AFL,Aflac Inc,Financial,Insurance - Life
AFRM,Affirm Holdings Inc,Financial,Credit Services
AG,First Majestic Silver Corporation,Basic Materials,Silver
AGI,Alamos Gold Inc,Basic Materials,Gold
AIG,American International Group Inc,Financial,Insurance - Diversified
AJG,Arthur J. Gallagher & Co,Financial,Insurance Brokers
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure
AL,Air Lease Corp,Industrials,Rental & Leasing Services
ALAB,Astera Labs Inc,Technology,Semiconductors
ALB,Albemarle Corp,Basic Materials,Specialty Chemicals
ALC,Alcon Inc,Healthcare,Medical Instruments & Supplies
ALGM,Allegro Microsystems Inc,Technology,Semiconductors
ALGN,"Align Technology, Inc",Healthcare,Medical Instruments & Supplies
ALHC,Alignment Healthcare Inc,Healthcare,Healthcare Plans
ALK,Alaska Air Group Inc,Industrials,Airlines
ALKS,Alkermes plc,Healthcare,Drug Manufacturers - Specialty & Generic
ALLE,Allegion plc,Industrials,Security & Protection Services
ALLY,Ally Financial Inc,Financial,Credit Services
ALM,Almonty Industries Inc,Basic Materials,Other Industrial Metals & Mining
ALMS,Alumis Inc,Healthcare,Biotechnology
ALSN,Allison Transmission Holdings Inc,Consumer Cyclical,Auto Parts
AM,Antero Midstream Corp,Energy,Oil & Gas Midstream
AMAT,Applied Materials Inc,Technology,Semiconductor Equipment & Materials
AMCR,Amcor Plc,Consumer Cyclical,Packaging & Containers
AMD,Advanced Micro Devices Inc,Technology,Semiconductors
AME,Ametek Inc,Industrials,Specialty Industrial Machinery
AMGN,AMGEN Inc,Healthcare,Drug Manufacturers - General
AMKR,AMKOR Technology Inc,Technology,Semiconductor Equipment & Materials
AMPX,Amprius Technologies Inc,Industrials,Electrical Equipment & Parts
AMRX,Amneal Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic
AMRZ,Amrize Ltd,Basic Materials,Building Materials
AMTM,Amentum Holdings Inc,Industrials,Specialty Business Services
AMX,America Movil S.A.B.DE C.V. ADR,Communication Services,Telecom Services
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail
ANET,Arista Networks Inc,Technology,Computer Hardware
ANF,Abercrombie & Fitch Co,Consumer Cyclical,Apparel Retail
AON,Aon plc,Financial,Insurance Brokers
AOS,A.O. Smith Corp,Industrials,Specialty Industrial Machinery
APA,APA Corporation,Energy,Oil & Gas E&P
APD,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals
APG,APi Group Corporation,Industrials,Engineering & Construction
APH,Amphenol Corp,Technology,Electronic Components
APLD,Applied Digital Corporation,Technology,Information Technology Services
APLS,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology
APO,Apollo Global Management Inc,Financial,Asset Management
APP,Applovin Corp,Communication Services,Advertising Agencies
APTV,Aptiv PLC,Consumer Cyclical,Auto Parts
AQN,Algonquin Power & Utilities Corp,Utilities,Utilities - Diversified
AR,Antero Resources Corp,Energy,Oil & Gas E&P
ARCC,Ares Capital Corp,Financial,Asset Management
ARES,Ares Management Corp,Financial,Asset Management
ARIS,Aris Mining Corp,Basic Materials,Gold
ARM,Arm Holdings plc. ADR,Technology,Semiconductors
ARMK,Aramark,Industrials,Specialty Business Services
AROC,Archrock Inc,Energy,Oil & Gas Equipment & Services
ARQT,Arcutis Biotherapeutics Inc,Healthcare,Biotechnology
ARWR,Arrowhead Pharmaceuticals Inc,Healthcare,Biotechnology
AS,Amer Sports Inc,Consumer Cyclical,Leisure
ASB,Associated Banc-Corp,Financial,Banks - Regional
ASML,ASML Holding NV,Technology,Semiconductor Equipment & Materials
ASO,Academy Sports and Outdoors Inc,Consumer Cyclical,Specialty Retail
ASTS,AST SpaceMobile Inc,Technology,Communication Equipment
ASX,ASE Technology Holding Co.Ltd ADR,Technology,Semiconductors
ATI,ATI Inc,Industrials,Metal Fabrication
ATMU,Atmus Filtration Technologies Inc,Consumer Cyclical,Auto Parts
ATO,Atmos Energy Corp,Utilities,Utilities - Regulated Gas
AU,AngloGold Ashanti Plc,Basic Materials,Gold
AUB,Atlantic Union Bankshares Corp,Financial,Banks - Regional
AVAV,AeroVironment Inc,Industrials,Aerospace & Defense
AVGO,Broadcom Inc,Technology,Semiconductors
AVPT,AvePoint Inc,Technology,Software - Infrastructure
AVTR,Avantor Inc,Healthcare,Medical Instruments & Supplies
AWK,American Water Works Co. Inc,Utilities,Utilities - Regulated Water
AXIA,Axia Energia ADR,Utilities,Utilities - Renewable
AXP,American Express Co,Financial,Credit Services
AXTA,Axalta Coating Systems Ltd,Basic Materials,Specialty Chemicals
AZN,Astrazeneca plc,Healthcare,Drug Manufacturers - General
B,Barrick Mining Corp,Basic Materials,Gold
BA,Boeing Co,Industrials,Aerospace & Defense
BABA,Alibaba Group Holding Ltd ADR,Consumer Cyclical,Internet Retail
BAC,Bank Of America Corp,Financial,Banks - Diversified
BAH,Booz Allen Hamilton Holding Corp,Industrials,Consulting Services
BALL,Ball Corp,Consumer Cyclical,Packaging & Containers
BAM,Brookfield Asset Management Ltd,Financial,Asset Management
BANC,Banc of California Inc,Financial,Banks - Regional
BAX,Baxter International Inc,Healthcare,Medical Instruments & Supplies
BBIO,BridgeBio Pharma Inc,Healthcare,Biotechnology
BBVA,Banco Bilbao Vizcaya Argentaria S.A. ADR,Financial,Banks - Diversified
BBWI,Bath & Body Works Inc,Consumer Cyclical,Specialty Retail
BBY,Best Buy Co. Inc,Consumer Cyclical,Specialty Retail
BC,Brunswick Corp,Consumer Cyclical,Recreational Vehicles
BCE,BCE Inc,Communication Services,Telecom Services
BCRX,Biocryst Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic
BCS,Barclays plc ADR,Financial,Banks - Diversified
BDX,Becton Dickinson & Co,Healthcare,Medical Instruments & Supplies
BE,Bloom Energy Corp,Industrials,Electrical Equipment & Parts
BEAM,Beam Therapeutics Inc,Healthcare,Biotechnology
BEKE,KE Holdings Inc ADR,Real Estate,Real Estate Services
BEN,"Franklin Resources, Inc",Financial,Asset Management
BEPC,Brookfield Renewable Corp,Utilities,Utilities - Renewable
BETA,BETA Technologies Inc,Industrials,Aerospace & Defense
BF-B,Brown-Forman Corp,Consumer Defensive,Beverages - Wineries & Distilleries
BG,Bunge Global SA,Consumer Defensive,Farm Products
BGC,BGC Group Inc,Financial,Capital Markets
BHF,Brighthouse Financial Inc,Financial,Insurance - Life
BHP,BHP Group Limited ADR,Basic Materials,Other Industrial Metals & Mining
BIDU,Baidu Inc ADR,Communication Services,Internet Content & Information
BILI,Bilibili Inc ADR,Communication Services,Internet Content & Information
BILL,BILL Holdings Inc,Technology,Software - Application
BIRK,Birkenstock Holding Plc,Consumer Cyclical,Footwear & Accessories
BJ,BJ's Wholesale Club Holdings Inc,Consumer Defensive,Discount Stores
BK,Bank Of New York Mellon Corp,Financial,Banks - Diversified
BKD,Brookdale Senior Living Inc,Healthcare,Medical Care Facilities
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services
BKU,BankUnited Inc,Financial,Banks - Regional
BLDR,Builders Firstsource Inc,Industrials,Building Products & Equipment
BLK,Blackrock Inc,Financial,Asset Management
BLSH,Bullish,Technology,Software - Infrastructure
BMNR,BitMine Immersion Technologies Inc,Financial,Capital Markets
BMO,Bank of Montreal,Financial,Banks - Diversified
BMRN,Biomarin Pharmaceutical Inc,Healthcare,Biotechnology
BMY,Bristol-Myers Squibb Co,Healthcare,Drug Manufacturers - General
BN,Brookfield Corporation,Financial,Asset Management
BNS,Bank Of Nova Scotia,Financial,Banks - Diversified
BOBS,Bob's Discount Furniture Inc,Consumer Cyclical,Specialty Retail
BOX,Box Inc,Technology,Software - Infrastructure
BP,BP plc ADR,Energy,Oil & Gas Integrated
BR,"Broadridge Financial Solutions, Inc",Technology,Information Technology Services
BRBR,Bellring Brands Inc,Consumer Defensive,Packaged Foods
BRK-B,Berkshire Hathaway Inc,Financial,Insurance - Diversified
BRKR,Bruker Corp,Healthcare,Medical Devices
BRO,"Brown & Brown, Inc",Financial,Insurance Brokers
BROS,Dutch Bros Inc,Consumer Cyclical,Restaurants
BRSL,Brightstar Lottery PLC,Consumer Cyclical,Gambling
BRZE,Braze Inc,Technology,Software - Application
BSBR,Banco Santander (Brasil) S.A. ADR,Financial,Banks - Regional
BSX,Boston Scientific Corp,Healthcare,Medical Devices
BSY,Bentley Systems Inc,Technology,Software - Application
BTG,B2gold Corp,Basic Materials,Gold
BTI,British American Tobacco Plc ADR,Consumer Defensive,Tobacco
BTSG,BrightSpring Health Services Inc,Healthcare,Health Information Services
